Standard Bangla,Chittagong,Noakhali,Barishal
। গরুর বাচ্চা কুকুরের বাচ্চা,গরুর বাইচ্চা কুত্তার বাইচ্চা।,গরুর বাইচ্ছা কুত্তার বাইচ্ছা,গরুর বাচ্চা কুত্তার বাচ্চা।
অন্যায় দাবি করছে ক্রিকেটাররা অথচ দোষ নাকি বোর্ডের ? বাংলাদেশ মাতালের কারখানায় পরিনত হয়েছে।,"ক্রিকেটরাগো অন্যায় দাবিত অয়, তবুও দোষ বোর্ডর! বাংলাদেশ হইছে একখান মাতালর হাট।",অন্যায় দাবি কইচ্ছে ক্রিকেটারেরা হেও দোষ বলে বোর্ডের! বাংলাদেশ মাতালের কারখানায় পরিণত হয় গেসে।,অন্যায় দাবি হরছে ক্রিকেটাররা হেরপরেও দোষ নাহি বোর্ডের ? বাংলাদেশ মাতালের কারহানায় ভইরে গেছে।
আইসিসিকে এই তথ্য দিলো কে?শুওরের বাচ্চা পাপন,আইসিসি লগে  খবর খনে  দিল? শুয়েরর ফুয়া চাই।,আইসিসিরে এই খবর দিসে কনে? শুয়োরের বাইচ্ছা পাপইন্না। ,আইসিসিকে এই কতা কইছে কেডা? শুওরের বাচ্চা পাপন।
আগারওয়াল পিউর বাস্টার্ড এর কিছু হবে না???,"আগারওয়াল পুরা হারামজাদা, তোর কিসু  ন কইব?",আগারওয়াল পুরা বাস্টার্ড এর কিসু ঐতোনো?,আগারওয়াল খাটি হারামজাদা অর কিচ্ছু অইবে না?
আবাল তুই,তু হালা বেয়াক্কেল।,আবাইল্লা তুই।,আবাল তই।
আবাল দিয়ে দেশটা ভরে গেছে,এই দেইশত আবাল লইয়্যাই ভইরা গেইছে।,আবাল দি দেশগা ভরি গেসে,আবাাইলদা দ্যাশটা ভইরা গ্যাছে।
আমার মতে পত্যক ক্রিকেটার এখন সাকিবের পাশে থাকা উচিত খেলাটা বন্ধ করে দেওয়া উচিতবলা দরকার সাকিব না থাকলে খেলা হবে না দেখি বিসিবি কি করতে পারে আবার অনেকে বলবেন এটা কি বিসিবির দোষ নিহে আমি বলব এটা বিসিবির দোস আর সেখানের মুল শয়তান হল পাপন মাগীর পুলায়,"আমার লগে মনে অয়, এখন সব ক্রিকেটারগো সাকিবর পাশে থাহা দরকার। খেলাডা বন্ধ কইরা দিবার দরকার, কইতে অয় সাকিব ন থাকলে খেলা ন অইব। দেইখি বিসিবি কি করে। অনেকে কইব ইডা বিসিবির দোষ ন। আমি কইমু  ইডা আসলে বিসিবির দোষ, আর ওখানে আস্তা  শয়তান  অ পাপন মাগীর ফুয়া।","আঁর মতে প্রত্যেক ক্রিকেটার অন সাকিবের পাশে থাকন উচিত খেলাগা বন্ধ করি দেওন উচিত বলা দরকার সাকিব না থাইকলে খেলা অইতো ন  সাই বিসিবি কি ক‌ইরতে হারে আবার বহুত জনে ক‌ইবো— ইগা কি বিসিবির দোষ নি আঁই কমু— ইগা বিসিবির দোস, আর হিয়ানের মুল শতান অইলো পাপ‌ইন্না মাগীরহুতের।",মোর মতে সব ক্রিকেটারের এহন সাবিব্বার লগে থাহা উচিৎ খেলাডা বন্ধ হইর‍্যা দেওয়া উচিৎ। কওয়া দরকার সাকিব না থাকলে খেলা অইবে না। দেহি বিসিবি কি হরতে পারে। আবার অনেকে কইবেআনে এডা কি বিসিবির দোষ। নাইলে মুই কমু এটা বিসিবির দোষ আর হেইহানের আসল শয়তান অইলো পাপন মাগির পুলায়।
আমিও এক বছরের জন্ন ক্রিকেট খেলা দেখার বিরতি নিলাম।পাপনেরে জুতার বারি দাও।অর পদত্যাগ চাই,"আও এক বচ্ছরর লাইগা ক্রিকেট দেখা বন্ধ করলাম। পাপনরে জুতা দিয়া পিটাই দেওন লাগে। অর ইস্তেফা দরকার।""",আঁই এক বছরের লাই ক্রিকেট খেলা দেখার তুন বিরতি লইলাম। পাপইন্নারে জুতার বাই দেও। হেতের পদত্যাগ চাই।,মুই এক বসরের জিন্নে ক্রিকেট খ্যালা দেকমু না। পাপনেরে জোতার বারি দে। আর নাইলে পদত্যাগ চাই।
আরে এদের মত পেলেয়ার দের রিজেক্ট দিয়ে দেন। নতুন করে টিম তৈরী করা হোক। শালারা ভাত পাই না চা চোদাই। পাপন ভাই রাইট কথা,আরে ইদারা মতো ফোয়া হক্কলেরে রিজেক্ট দিয়ে দেও।আলারা ভাত ন ফাই চা চোদায়।ফাপন ভাই রাইট কথা।,আরে এগুনের মতো পেলেয়াররে  রিজেক্ট দি দন। নতুন করি টিম তৈরি করা অক। হালারা ভাত হায় না। চা সোদায়।  পাপন ভাই রাইট কতা।,আরে অগো মতো পেলেয়ারগো বাদ দিয়া দেউক। নতুন হইর‍্যা টিম বানান। হালারা ভাত পায়না চা চোদাই। পাপন ভাই ঠিক কতা কইছে।
আরে মুশফিক মাদার চোদ,আরে মুশফিক্কা মাদার চোদ।,আরে মুশফিক্কা মাদারচোদ।,আরে মুশফিক মাদার চোদ।
আসুন আমরা সবাই মিলে এই চেনেল এর মালিকের মারে গিয়ে নিজ দায়িত্বে চুদে আসি,আইয়ুন। আরা বেজ্ঞুন মিলি এ চ্যানেলর মালিকর মারে যাই নিজ দায়িত্বত সুদি আই।,আইয়েন আমরা বেকে মিলি এই চ্যানেলের মালিকের মারে যাই নিজ দায়িত্বে হোন্দাই আই।,আন মোরা সবাই মিল্যা এই চেনেল এর মালিকের মারে গিয়ে নিজ দায়িত্বে চুদে আসি।
উড়ছে লুঙ্গি লাগছে বেশ চুদে গেছে কাঙলাদেশ। ��,"উইজ্জি লুঙ্গি লাইগ্গি বেশ, সুদি দিয়ি কাঙলাদেশ।","উড়ের লুঙ্গি লাগের বেশ, চুদি গেছে কাঙলাদেশ।",ওরছে লোঙ্গি লাগজে বেশ চুদে গেছে কাঙলাদ।
"এ কুত্তারবাচ্চা, রুবেল গান গাইলো কখন??","এই কুত্তারবাইচ্চা, রুবিল্লা গান গাইয়ে হত্তে?","এ কুত্তারবাইচ্ছা, রুবেল গান গাইলো কত্তে?","এ কুত্তারবাচ্চা, রুবেল গান কইলে কোন সোমায়।"
এ খানকির পুলা গান কই,এই হানকির ফুয়া গান হদে?,এ খানকিরহুত গান কই?,এ খানকির পোলা গান কই?
এই ইউটিওবার যে গরু চোর এতে কোনো সন্দেহ নেই তোর চোখে কি দেওয়ান বাগি মাজার পুজারি চেখে পড়েনা গরু চোরের মতো ওয়াজের পিছনে লাগছোত এসব বন্দ করো তুইতো মেহনত ছাড়া ইউটিওবে টাকা ইনকামের দান্দায় এসেছিস এটার কথা বলবে কে শুনি পাগল ছাগলের দল,এই  ইয়ুটুবাইজ্জা যে গরু সোর এডে হোন সন্দেহ নাই।তোর সোগত কি দেওয়ান বাগি মাঝার ফুজারী সোগত ন ফরে।গরু সোরর নানি ওয়াজর ফিসনত লাইগ্গুশ।এগিন বন্ধ গর।তুই ত মেনত সারা ইউটুবত টিয়া ইনকামর দানদায় আইস্সুস। ইবার হতা হনে উনিবু ফল সলর দল।,এই ইউটিউবার যে গরু চোর ইয়ানে  কোনো সন্দেহ নাই। তোর চোকে কি দেওয়ান বাগি মাজার পুজারি চোকে হড়েনা গরু চোরের মতো ওয়াজের হিছনে লাইগছত। এগিন বন্দ কর। তুইতো মেহনত ছাড়া ইউটিউবে টাকা ইনকামের দান্দাত আইসোস। ইগার কতা ক‌ইবো কনে হুনি হাগল ছাগলের দল,এই ইউটিওবার যে গরু চোর এতে কোনো সন্দেহ নাই। তোর চোহে কি দেওয়ান বাগি মাজার পুজারি চোহে পরে না গরু চোরের নাহান ওয়াজের পিছে লাগজো এইয়া বন্দ হর। তুইতো কষ্ট ছারা ইউটিউবে টাহা ইনকামের ধান্দায় আইআছেলেি এডার কতা কইবে কেডা হুনি পাগল ছাগলের দল।
এই কুত্তা পাপনকে সভাপতি থেকে সরানো হক।তাহলে বাংলাদেশ ক্রিকেট অনেক উপরে যাবে।,এই কুত্তার ফুয়া ফাফইন্নারে সবাফতীর তুন শরাই দোক।তইলি বাংলাদেশ ক্রিকেট বওত উদ্দি যাইবু।,এই কুত্তা পাপইন্নারে সভাপতি তুন সরাই দন। তাইলে বাংলাদেশ ক্রিকেট অনেক ওসে যাইবো।,এই কুত্তা পাপনরে সভাপতিইদ্যা নামাই দেও। হেইলে বাংলাদেশ কিরিকেট অনেক উপরে যাইবে।
এই খানকির পোলা খেলা পারে নাহ। মাদারচোদ আবার টাকা বাড়াতে কয় শালা। সাকিব তামিম মুশফিক কাউরে আর দেখতে চাই নাহ।,"এই হানকির ফুয়া খেলা ন ফারে।মাদারসদ আবার টিয়া বারাইতু হর আলার ফুয়া।সাকিব্বা,তামিম্মা,মুশফিক্কারে আর দেখতু ন সাই।",এই খানকিরহুত খেলা পারে না। মাদারচোদ আবার টেঁয়া বাড়াইতো কয় হালা। সাকিব্বা তামিম্মা মুসফিক্কা কেউরে আর দেখতাম চাই না।,এই খানকির পোলায় জানে না খেলতে আবার টাহা বারাইন্নার কতা কয়। সাকিব্বা তামিম্মা মুস্ফিক্কা কেউরেই দেহার ইচ্ছা নাই।
এই খানকির পোলা রুবেল কই গান গাইছে শুনা মাগির বাচ্চা তর মায়রে তুর বাপের কান্দে ফালাই চুদি ভোদার পোলা....next time no sorry mind it,"এই হানকির ফুয়া রুবিল্লা হই গান গাইয়ি উনা, মাগীর বাইচ্চা তোর মারে তোর বাফর হান্দত ফেলাই সুদি ভোদার ফোয়া।","এই খানকিরহুত রুবেইল্লা কই গান গাইছে, হুন মাগিরহুত তোর মারে তোর বাপের কাঁন্দে হালাই চুদি হেডালিরহুত। ",এই খানকির পোলা রুবেল কই গান গাইছে হুনা। মাগির পোলা তোর মায়রে তোর বাপের কান্দে ফালাইয়া চুদি ভোদার পোলা।
এই খানকির পোলারে মাশরাফির অনুরোধে দলে নিছে আমার বাল ফালাইছে।।,"এই হানকির ফুয়ারে মাশরাফির অনুরোধত দলত লইয়ি, আর বাল ফেলাইয়ি।","এই খানকির হুতেরে মাশরাফির অনুরোধে দলে লইসে, হেতে আঁর বাল হালাইসে।","এই খানকির পলারে মাশরাফির কতায় দলে নেসে, মোর বাল হালাইছে।"
এই দোষ এত দিন কোথায় ছিল।পাপন হালার পোলা। আজ কেন এই কোথা উঠবে।পাপন সালা মানুষ এর চোদা না।।,"এই দোষ এতদিন হদে আসিল, ফাফন আলার ফুয়া। আজিয়া এই হতা কিল্লাই উইট্টি।ফাফন আলা মানুষরে ন সুদে।","এই দোষ এতদিন কোনাই আসিলো, পাপইন্না হালারহুত । আইজ্জা কিল্লে এই কতা উঠসে। পাপইন্না হালা মানুষের চোদা না।",এই দোষ এতো দিন কোম্মে আলহে। পাপন হালার পো হালা আইজগো ক্যা এই কতা ওটবে। পাপন হালা মাইনসের চোদা না।
এই বুড়া জাহিল জঙ্গী জানোয়ার কে সাক্ষাতকার নিল।সাংবাদিকদের খাইয়া কোন কাজ নাই। বেকার কি করব।,ওই বুজ্জা জাহিল জঙ্গি জানোয়ারোর হনে সাক্ষাৎকার লইয়ি। সাংবাদিকর হাই দায় কোন হাম নাই। বেহার কি গইরজ্জুম।,এই বুইড়া জাহিল জঙ্গি জানোয়ারের সাক্ষাৎকার লইসে। সাংবাদিক গোর খাই দাই কোনো কাম-কাইজ নাই। বেকার কি কইরবো।,এই বুইররা জাহিল জঙ্গি জানোয়ারের সাক্ষাতকার নেছে কেডা। সাংবাদিকদের খাইয়া কোনো কাম নাই। বেকার কি করবে
এই ময়ে একটা মাগি মেয়েরার কারন দেশের এই অবেছতা এই দরনের মেয়েরার প্রাসি ছাই নাসিরের কুনু দুস নাই সব মেয়ের দুস নাসিরকে দলে ছাই,"এই মাইয়া উগ্গো মাগি। এই মাইয়াফোয়ার হারনে দেশর এই অবস্থা। এই ধরনোর মাইয়ার ফাঁসি সাই। নাসিজ্জের হনু দুষ নাই, বেক মাইয়ার দুষ নাসিরজ্জেরে দলোত সাই।","এই মাইয়া ইয়া  ইগ্গা মাগী। এই মাইয়ার কারণে দেশের এই অবস্থা। এই ধরনের মাইয়ার ফাঁসি চাই। নাসিরের কোনো দোষ নাই, বেক এই মাইয়ার দোষ। নাসিরেরে দলে চাই।",এই মাইয়া এউক্কা মাগি। এই মেয়ের জিন্যে দেশের এই অবস্থা। এই রহমের মাইয়াদেগো ফাঁসি চাই। নাসিরের কোনো দোষ নাই সব অই মাইয়ার দোষ। নাসিরকে দলে চাই।
এই মাগি ত বিয়ে করছে,এই মাগি হত্তে বিয়ে গইরজ্জি।,এই মাগী তো বিয়া কইচ্ছে ।,এই মাগি তো হাঙ্গা হরছে।
এই শালা একটা গ্রেট বানঞ্চুদ,এই হালা উগ্গো গ্ৰেট বাইনচুত।,এই হালা ইগ্গা গ্রেট বাইনচোদ।,হালায় এউক্কা গ্রেট বাঞ্চুদ।
